BEAKER,TIME,CONC,TOTAL,IMMOBILIZED
1,24,0,5,0
2,24,0,5,0
3,24,0,5,0
4,24,0,5,1
5,24,5,5,0
6,24,5,5,1
7,24,5,5,0
8,24,5,5,0
9,24,10,5,1
10,24,10,5,1
11,24,10,5,1
12,24,10,5,1
13,24,20,5,2
14,24,20,5,1
15,24,20,5,2
16,24,20,5,2
17,24,40,5,2
18,24,40,5,3
19,24,40,5,3
20,24,40,5,3
21,24,80,5,4
22,24,80,5,5
23,24,80,5,3
24,24,80,5,2
1,48,0,5,0
2,48,0,5,0
3,48,0,5,0
4,48,0,5,1
5,48,5,5,0
6,48,5,5,1
7,48,5,5,0
8,48,5,5,1
9,48,10,5,2
10,48,10,5,2
11,48,10,5,1
12,48,10,5,2
13,48,20,5,3
14,48,20,5,2
15,48,20,5,3
16,48,20,5,4
17,48,40,5,4
18,48,40,5,3
19,48,40,5,4
20,48,40,5,4
21,48,80,5,5
22,48,80,5,5
23,48,80,5,5
24,48,80,5,5
